Course Code,Section,Credits,Title,Professor,Days,Start Time,End Time,Begin Date,End Date,Location,Building,Room,Comment,SOPHIA,Via Viking,Signature,Foundational Area or Knowledge Area,Comp 1,Comp 2
ACCT 2080,A,3,Accounting Ethics,Jaekyo Seo,MWF,12:00 PM,12:50 PM,08/26/2026,12/11/2026,MAIN,MC,255,,E,,,,,
ACCT 2080,B,3,Accounting Ethics,Jaekyo Seo,MWF,1:00 PM,1:50 PM,08/26/2026,12/11/2026,MAIN,MC,255,,E,,,,,
ACCT 2080,C,3,Accounting Ethics,Jaekyo Seo,MWF,2:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,MC,255,,E,,,,,
ACCT 2600,A,3,Understanding the Numbers,Emily Ann Breitling,MWF,1:00 PM,1:50 PM,08/26/2026,12/11/2026,MAIN,MC,101,,,,,,,
ACCT 2610,A,3,Principles of Accounting I,Emily Ann Breitling,MWF,11:00 AM,11:50 AM,08/26/2026,12/11/2026,MAIN,MC,101,,,,,,,
ACCT 2610,B,3,Principles of Accounting I,Angela Lynn Olson,MWF,12:00 PM,12:50 PM,08/26/2026,12/11/2026,MAIN,MC,201,,,,,,,
ACCT 2610,C,3,Principles of Accounting I,Emily Ann Breitling,MWF,2:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,MC,101,,,,,,,
ACCT 2620,A,3,Principles of Accounting II,Laura Jane Hybertson,TR,12:15 PM,1:30 PM,08/26/2026,12/11/2026,MAIN,MC,101,,,,,,,
ACCT 2620,B,3,Principles of Accounting II,Laura Jane Hybertson,TR,1:40 PM,2:55 PM,08/26/2026,12/11/2026,MAIN,MC,101,,,,,,,
ACCT 3610,A,3,Intermediate Accounting I,Angela Lynn Olson,MWF,9:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,MC,101,,,,,,,
ACCT 3610,B,3,Intermediate Accounting I,Angela Lynn Olson,MWF,11:00 AM,11:50 AM,08/26/2026,12/11/2026,MAIN,MC,102,,,,,,,
ACCT 4630,A,3,Income Tax,Laura Jane Hybertson,MWF,9:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,MC,103,,,,,,,
ACCT 4950,A,4,Accounting Internship,Emily Ann Breitling,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,OFF,Internship,W,Signature,"Experiential Course, Upper-Level Writing",,,
ACCT 4960,A,4,Elective Accounting Internship,Emily Ann Breitling,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,OFF,Internship,,,,,,
ACCT 6620,A,3,Managerial Decision Making,Kory Holt,T,6:30 PM,9:30 PM,08/26/2026,12/11/2026,MAIN,MC,103,,,,,,,
